eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
36,1,06:47,FLA,VGK,right,stoppage,,,,,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,
74,1,06:47,FLA,VGK,right,faceoff,54.0,8477493.0,8476905.0,69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,07:07,FLA,VGK,right,giveaway,54.0,,,-93.0,30.0,O,,,,,,8476905.0,,,,,,,,,,,,,,,,,,,,
38,1,07:43,FLA,VGK,right,hit,13.0,,,89.0,-33.0,O,8479066.0,8479980.0,,,,,,,,,,,,,,,,,,,,,,,,
75,1,07:44,FLA,VGK,right,blocked-shot,13.0,,,84.0,-7.0,D,,,8480727.0,8477933.0,,,,,,,,,,,,,,,,,,,,,,
39,1,07:48,FLA,VGK,right,stoppage,,,,,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,
77,1,07:48,FLA,VGK,right,faceoff,54.0,8477935.0,8478403.0,69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,08:03,FLA,VGK,right,stoppage,,,,,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,
78,1,08:03,FLA,VGK,right,faceoff,54.0,8477935.0,8478403.0,69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,08:10,FLA,VGK,right,blocked-shot,13.0,,,69.0,1.0,D,,,8480727.0,8477935.0,,,,,,,,,,,,,,,,,,,,,,
